Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0818923906107629,0.0799454687537108,0.0595422357228208,0.0968872603044369,0.0772551149073225,0
0.0462169749669887,0.0524888554716262,0.0257447462109567,0.0593310251118158,0.0154351312512148,0
0.0384424077348066,0.0178726992827028,0.0258938424016129,0.0193332588574858,0.0315509962661347,0
0.0253614831972648,0.0234691791466862,0.0260187694793686,0.0175358364920785,0.0237105084225971,0
0.027679625303798,0.0262529693982838,0.0194588969542013,0.0167470287138369,0.0172143390953973,0
0.0183098172774223,0.0175836541727489,0.0230183693452157,0.0290852358112652,0.0077173778633273,0
0.0231107963885204,0.0194936851897281,0.0214841768352259,0.0071624588818063,0.0223375374713731,0
0.0126682996438336,0.0147259716602148,0.0140020706042043,0.0095576879342765,0.0180178948171237,0
0.013346912311589,0.0136544071120838,0.0050441917429288,0.0143982465196249,0.0045934479537746,0
0.0047856631704205,0.0079092914101534,0.0131791117034706,0.0094039836487261,0.0009446729200265,1
0.0020615442427226,-0.0013107762967925,-0.0002838542994908,0.0028944322234685,0.0018168276033621,5
